property_age,property_type,property_size_sqft,num_rooms,num_bathrooms,location_area,avg_market_price_per_sqft,requested_price,loan_to_value_ratio,approval_status
16,Apartment,3041,1,1,Gopanpally,19774.24,60133453.41,67.69,1
7,Apartment,2167,4,2,Banjara Hills,12466.35,27014584.37,83.73,0
34,Apartment,1825,6,2,Moula Ali,18849.44,34400230.42,55.88,1
30,Independent House,993,3,5,Rampally,9076.77,9013235.32,65.36,0
33,Apartment,4652,5,4,Kandukur,16186.66,75300357.92,76.7,1
15,Apartment,786,6,1,Somajiguda,12721.47,9999077.65,84.27,0
21,Apartment,1232,2,1,Yadagirigutta,19290.15,23765470.22,58.99,0
21,Apartment,3393,2,1,Mallapur,16947.8,57503879.11,77.31,1
38,Apartment,2940,3,2,Ameerpet,17458,51326532.12,62.06,0
21,Independent House,2345,2,4,Tellapur,7882.58,18484643.14,81.13,0
17,Apartment,2657,5,4,Begumpet,6230.7,16554965,63.9,1
29,Independent House,1328,3,1,Uppal,6003.91,7973194.87,76.59,1
34,Villa,1991,5,4,Patancheru,16970.93,33789118.37,53.69,1
47,Apartment,2104,6,3,Gundlapochampally,8778.29,18469515.35,51.41,1
29,Villa,3690,4,1,Sagar Road,6110.28,22546927.98,60.66,1
42,Villa,3434,4,2,Chintal,7653.16,26280950.18,82.37,0
20,Independent House,4456,5,4,Ghatkesar,4620.98,20591083.47,59.81,1
39,Apartment,1266,3,2,Gopanpally,7878.05,9973605.62,87.93,0
5,Villa,1482,1,2,Gachibowli,15504.48,22977641.44,56.9,1
35,Villa,1798,3,5,Aushapur,6184.7,11120093.41,59.89,1
45,Independent House,1281,2,2,Attapur,11176.02,14316486.55,72.19,1
15,Independent House,674,3,3,Isnapur,11957.72,8059503.69,64.69,1
19,Independent House,2903,5,3,Gundlapochampally,5711.97,16581838.55,62.74,1
25,Apartment,909,6,1,Moinabad,19564.37,17784013.62,84.27,0
3,Independent House,1268,3,5,Abids,13044.63,16540585.96,78.16,0
30,Villa,3415,3,3,ECIL,17911.25,61166915.51,60.59,1
43,Villa,1753,6,1,Chandanagar,6972.28,12222398.16,56.91,1
45,Villa,2427,2,5,Attapur,3212.82,7797517.46,78.51,1
30,Apartment,3108,5,5,Jalpally,7963.21,24749660.37,59.06,1
41,Villa,4400,5,1,Bachupally,12135,53393979.71,69.46,1
13,Villa,3563,4,2,ECIL,17301.06,61643682.15,74.37,1
46,Villa,3454,6,5,Manoharabad,11171.37,38585906.54,78.32,1
30,Villa,2642,5,4,Ameerpet,16069.49,42455589.69,56.91,1
5,Apartment,3140,3,4,Gopanpally,19908.23,62511841.64,89.66,0
40,Independent House,4767,1,3,Koheda,11547.26,55045794.93,68.87,1
9,Apartment,3621,4,3,Moinabad,4171.67,15105600.33,50.66,0
44,Independent House,1224,3,4,Chintal,8954.6,10960432.64,56.29,1
4,Independent House,1334,3,2,Rudraram,4949.24,6602282.83,88.85,0
8,Independent House,693,2,4,Pocharam,12162.89,8428879.9,80.8,0
26,Apartment,3290,3,2,Chintal,17581.1,57841830.14,84.89,0
36,Independent House,3133,4,5,Maheshwaram,6246.32,19569731.8,59.16,1
9,Villa,4628,2,2,ECIL,19257.71,89124699.74,75.63,1
8,Independent House,1877,6,5,Ameerpet,8100.54,15204709.05,56.18,1
28,Independent House,665,4,5,ECIL,6240.3,4149801.35,84.59,0
42,Apartment,2996,2,1,Shamshabad,3508.2,10510564.25,69.13,1
50,Villa,584,6,5,Sagar Road,14799.93,8643161.75,58.71,1
49,Villa,2701,3,4,Kondapur,4425.54,11953379.79,77.01,1
42,Independent House,2709,3,2,LB Nagar,12811.98,34707641.59,69.06,1
37,Apartment,3184,5,3,Alwal,11915.46,37938810.1,76.9,1
37,Villa,2182,1,4,Pragathi Nagar,6702.7,14625292.54,50.72,1
48,Independent House,1216,6,4,Isnapur,19487.17,23696397.84,63.64,1
3,Independent House,2959,6,3,Jeedimetla,19151.49,56669254.81,75.28,1
36,Apartment,1043,5,5,Sainikpuri,5344.85,5574676.41,85.37,0
38,Villa,4681,4,4,Ghatkesar,11282.11,52811553.55,57.04,0
50,Apartment,3807,4,4,Mangalpally,17215.7,65540162.72,61.53,0
47,Apartment,565,5,4,Chintal,11832.42,6685316.66,88.02,0
28,Independent House,2969,3,4,Mehdipatnam,7503.05,22276570.23,52.36,1
13,Apartment,3683,5,5,Shamshabad,8771.7,32306164.6,69.66,1
5,Independent House,1403,3,2,Hitech City,15825.96,22203825.91,58.24,0
7,Independent House,3755,5,5,Financial District,9682.05,36356079.94,51.78,1
47,Villa,3160,1,4,Nacharam,3259.57,10300256.02,77.42,1
9,Apartment,4430,5,5,Narsingi,7000.63,31012769.22,67.54,0
24,Villa,896,1,3,Pocharam,4805.34,4305587.79,57.87,0
42,Villa,3954,6,1,Gundla Pochampally,18608.36,73577438.11,71.33,1
20,Independent House,2176,2,4,Begumpet,16267.32,35397688.3,82.79,0
31,Apartment,2601,4,1,Bowrampet,3962.68,10306919.09,50.4,1
18,Villa,4653,6,4,Begumpet,17403.47,80978332.55,87.96,0
28,Independent House,1682,2,1,Kollur,3833,6447113.4,63.5,0
8,Apartment,1992,6,1,Bachupally,3385.66,6744227.06,79.72,0
24,Apartment,596,4,3,Bolarum,18768.57,11186067.27,71.64,0
26,Villa,2124,3,4,Mallapur,8526.29,18109841.48,59.96,0
44,Independent House,764,2,1,Madhapur,18700.28,14287012.32,79.13,1
4,Apartment,4040,4,5,Alwal,13175.03,53227117.23,70.61,1
25,Independent House,889,4,5,Nagole,19666.53,17483543.65,78.83,1
5,Independent House,4839,6,1,Uppal,8947.75,43298163.99,71.6,0
7,Villa,1910,6,2,Chengicherla,10119.63,19328497.27,70.08,0
14,Independent House,2801,3,2,Maheshwaram,15453.36,43284858.95,50.47,1
36,Villa,4377,4,3,Tolichowki,11230.57,49156214.06,56.11,0
34,Villa,3844,3,3,Turkapally,14276.89,54880357.37,72.95,0
15,Independent House,2142,5,4,Isnapur,8630.33,18486175,87.98,0
9,Independent House,3748,4,4,Yacharam,19587.6,73414311.34,87.59,0
17,Independent House,3679,3,3,Kapra,7742.09,28483157.32,83.74,0
50,Independent House,2921,3,3,Manoharabad,3185.62,9305192.23,89.05,0
29,Independent House,2028,5,5,Kandukur,17975.21,36453723.48,58.13,1
36,Apartment,4222,3,5,Abids,4795.64,20247185.32,82.86,0
35,Villa,872,2,4,Nallagandla,9058.39,7898916.53,76.81,0
21,Apartment,1321,5,1,Jalpally,3103.13,4099229.71,84.63,0
41,Independent House,2300,3,1,Nanakramguda,5885.88,13537520.24,89.07,0
30,Independent House,2220,1,2,Isnapur,15024.78,33355005.22,77.41,1
48,Independent House,687,5,4,Mehdipatnam,13348.04,9170102.64,74.73,1
41,Independent House,4332,6,5,Tellapur,18735.72,81163132.14,85.91,0
32,Apartment,3235,1,5,Kapra,4816.07,15579980.09,74.67,1
3,Villa,1832,3,3,Rampally,6155.33,11276567.06,81.92,0
